H,1.008,Hydrogen,1
He,4.002602,Helium,2
Li,6.94,Lithium,3
Be,9.0121831,Beryllium,4
B,10.81,Boron,5
C,12.011,Carbon,6
N,14.007,Nitrogen,7
O,15.999,Oxygen,8
F,18.998403163,Fluorine,9
Ne,20.1797,Neon,10
Na,22.98976928,Sodium,11
Mg,24.305,Magnesium,12
Al,26.9815385,Aluminium,13
Si,28.085,Silicon,14
P,30.973761998,Phosphorus,15
S,32.06,Sulfur,16
Cl,35.45,Chlorine,17
Ar,39.948,Argon,18
K,39.0983,Potassium,19
Ca,40.078,Calcium,20
Sc,44.955908,Scandium,21
Ti,47.867,Titanium,22
V,50.9415,Vanadium,23
Cr,51.9961,Chromium,24
Mn,54.938044,Manganese,25
Fe,55.845,Iron,26
Co,58.933194,Cobalt,27
Ni,58.6934,Nickel,28
Cu,63.546,Copper,29
Zn,65.38,Zinc,30
Ga,69.723,Gallium,31
Ge,72.63,Germanium,32
As,74.921595,Arsenic,33
Se,78.971,Selenium,34
Br,79.904,Bromine,35
Kr,83.798,Krypton,36
Rb,85.4678,Rubidium,37
Sr,87.62,Strontium,38
Y,88.90584,Yttrium,39
Zr,91.224,Zirconium,40
Nb,92.90637,Niobium,41
Mo,95.95,Molybdenum,42
Tc,98.0,Technetium,43
Ru,101.07,Ruthenium,44
Rh,102.9055,Rhodium,45
Pd,106.42,Palladium,46
Ag,107.8682,Silver,47
Cd,112.414,Cadmium,48
In,114.818,Indium,49
Sn,118.71,Tin,50
Sb,121.76,Antimony,51
Te,127.6,Tellurium,52
I,126.90447,Iodine,53
Xe,131.293,Xenon,54
Cs,132.90545196,Caesium,55
Ba,137.327,Barium,56
La,138.90547,Lanthanum,57
Ce,140.116,Cerium,58
Pr,140.90766,Praseodymium,59
Nd,144.242,Neodymium,60
Pm,145.0,Promethium,61
Sm,150.36,Samarium,62
Eu,151.964,Europium,63
Gd,157.25,Gadolinium,64
Tb,158.92535,Terbium,65
Dy,162.5,Dysprosium,66
Ho,164.93033,Holmium,67
Er,167.259,Erbium,68
Tm,168.93422,Thulium,69
Yb,173.045,Ytterbium,70
Lu,174.9668,Lutetium,71
Hf,178.49,Hafnium,72
Ta,180.94788,Tantalum,73
W,183.84,Tungsten,74
Re,186.207,Rhenium,75
Os,190.23,Osmium,76
Ir,192.217,Iridium,77
Pt,195.084,Platinum,78
Au,196.966569,Gold,79
Hg,200.592,Mercury,80
Tl,204.38,Thallium,81
Pb,207.2,Lead,82
Bi,208.9804,Bismuth,83
Po,209.0,Polonium,84
At,210.0,Astatine,85
Rn,222.0,Radon,86
Fr,223.0,Francium,87
Ra,223.0,Radium,88
Ac,227.0,Actinium,89
Th,232.0377,Thorium,90
Pa,231.03588,Protactinium,91
U,238.02891,Uranium,92
Np,237.0,Neptunium,93
Pu,244.0,Plutonium,94
Am,243.0,Americium,95
Cm,247.0,Curium,96
Bk,247.0,Berkelium,97
Cf,251.0,Californium,98
Es,252.0,Einsteinium,99
Fm,257.0,Fermium,100
Md,258.0,Mendelevium,101
No,259.0,Nobelium,102
Lr,266.0,Lawrencium,103
Rf,267.0,Rutherfordium,104
Db,268.0,Dubnium,105
Sg,269.0,Seaborgium,106
Bh,270.0,Bohrium,107
Hs,277.0,Hassium,108
Mt,278.0,Meitnerium,109
Ds,281.0,Darmstadtium,110
Rg,282.0,Roentgenium,111
Cn,285.0,Copernicium,112
Nh,286.0,Nihonium,113
Fl,289.0,Flerovium,114
Mc,290.0,Moscovium,115
Lv,293.0,Livermorium,116
Ts,294.0,Tennessine,117
Og,294.0,Oganesson,118
